"_id","lorg_org_id","lorg_cat_id"
"42840","2903","4140"
"42841","2903","4490"
"42842","2903","4680"
"42848","9876","1250"
"42851","12220","1120"
"42852","12220","2540"
"42870","10858","3070"
"42871","10858","3400"
"42882","12011","2540"
"42883","12011","2550"
"42884","12011","2560"
"42885","12011","4400"
"42888","11780","2180"
"42905","10663","720"
"42912","12652","1100"
"42913","12652","810"
"42915","12653","4140"
"42936","12656","1280"
"42937","12656","3090"
"42946","8878","1280"
"42947","8878","3090"
"42960","12657","1280"
"42961","12657","3090"
"42970","9549","1280"
"42971","9549","3090"
"42980","12658","1280"
"42981","12658","3090"
"42994","9615","4520"
"43004","10960","1530"
"43005","10960","2970"
"43006","10960","2980"
"43010","7535","2970"
"43011","7535","2900"
"43013","12660","3810"
"43017","12294","2980"
"43021","8797","2980"
"43022","8798","2900"
"43027","11454","2360"
"43031","7009","2710"
"43037","9819","4140"
"43038","9819","4640"
"43045","10859","4140"
"43053","12149","2550"
"43068","3750","2030"
"43069","3750","2050"
"43070","3750","3720"
"43073","9805","4360"
"43076","7276","4380"
"43085","9290","3100"
"43097","1632","3810"
"43115","825","1770"
"43116","825","2320"
"43117","825","2870"
"43118","825","4140"
"43119","825","4640"
"43136","8422","1530"
"43143","6731","510"
"43144","6731","520"
"43153","4154","630"
"43190","8701","2840"
"43191","8701","4520"
"43199","7035","4910"
"43207","9810","4130"
"43222","8441","3110"
"43249","10674","2160"
"43255","11449","4590"
"43259","12505","740"
"43286","12134","1280"
"43287","12134","1350"
"43288","12134","3340"
"43289","12134","3470"
"43296","11756","4930"
"43300","2766","4090"
"43301","2766","4100"
"43351","12143","980"
"43352","12143","2900"
"43353","12143","2970"
"43354","11424","3420"
"43355","11424","4630"
"43360","10862","3720"
"43364","11717","2610"
"43365","2834","2600"
"43366","12344","980"
"43367","12344","2900"
"43383","6717","3100"
"43384","6717","3110"
"43408","8981","1860"
"43417","6883","980"
"43418","6883","1570"
"43419","6883","1950"
"43420","6883","4910"
"43424","7154","1950"
"43429","6483","4630"
"43435","267","1110"
"43436","267","3420"
"43484","2933","699"
"43495","12646","2830"
"43496","12646","4560"
"43520","11807","3810"
"43528","8346","1530"
"43529","8346","1550"
"43530","8346","1570"
"43531","8346","1660"
"43533","4247","980"
"43534","4247","3280"
"43535","4247","3350"
"43536","4247","4710"
"43539","11805","3810"
"43541","10870","1000"
"43542","10870","4520"
"43559","10729","1110"
"43560","10729","3420"
"43561","10729","4430"
"43563","1146","1530"
"43564","1146","1570"
"43565","1146","4380"
"43589","1824","3280"
"43602","9824","4140"
"43632","709","4220"
"43633","12654","2840"
"43636","12628","810"
"43637","12628","1100"
"43638","12628","2180"
"43639","11504","3720"
"43640","10902","1100"
"43685","2172","4810"
"43705","12596","2070"
"43713","8838","2070"
"43718","6708","4985"
"43734","4259","2940"
"43735","4259","3710"
"43752","12607","2540"
"43753","12607","2550"
"43754","12607","2560"
"43757","10964","4220"
"43758","12626","4500"
"43781","5211","3720"
"43782","3416","1280"
"43783","3416","3090"
"43787","3435","4960"
"43789","12659","3930"
"43790","12659","3940"
"43808","8368","3150"
"43809","3501","740"
"43830","9468","2180"
"43840","12589","1250"
"43845","12651","2180"
"43851","1269","940"
"43852","1269","3340"
"43878","3108","870"
"43879","3108","920"
"43880","3108","2550"
"43881","3108","4180"
"43883","7777","510"
"43884","7777","570"
"43885","7777","610"
"43886","7777","620"
"43887","7777","1010"
"43888","7777","3720"
"43890","9438","840"
"43891","9438","4560"
"43907","6411","2130"
"43939","12637","4140"
"43940","12637","4640"
"43944","10714","2050"
"43945","10714","3720"
"43948","9668","3810"
"43950","7548","2330"
"43951","3852","2330"
"43952","3852","4140"
"43971","8445","4520"
"43975","8875","1110"
"43976","8875","3420"
"44013","12061","3420"
"44017","8809","2760"
"44018","8809","2970"
"44019","8809","2980"
"44032","9417","3810"
"44042","11861","3420"
"44043","9793","3720"
"44046","7755","3720"
"44047","8444","3020"
"44060","11869","4640"
"44067","10918","3720"
"44068","7769","740"
"44073","218","2080"
"44074","218","2870"
"44075","218","4140"
"44105","12544","3720"
"44106","9353","3810"
"44115","11653","1470"
"44121","12661","3810"
"44130","8741","4140"
"44131","8741","4640"
"44137","4022","1110"
"44138","4022","3420"
"44143","1153","4360"
"44144","1153","4640"
"44149","990","1110"
"44150","990","3420"
"44151","994","1110"
"44152","994","3420"
"44163","7082","3720"
"44166","9120","3720"
"44167","9477","3840"
"44189","10824","4985"
"44217","11878","1530"
"44218","11878","1570"
"44226","12087","1530"
"44227","12087","1570"
"44228","12087","1590"
"44229","9670","740"
"44240","3258","1110"
"44241","3258","3420"
"44246","2109","1560"
"44247","185","1110"
"44248","185","3420"
"44255","8718","3420"
"44260","12630","1530"
"44262","11811","1000"
"44263","11811","4520"
"44277","11174","1780"
"44280","2994","3720"
"44288","9794","980"
"44297","11837","870"
"44298","11837","1260"
"44299","11837","2320"
"44300","11837","2870"
"44301","11837","3050"
"44302","11837","3840"
"44303","11837","4140"
"44304","11837","4910"
"44307","10998","4140"
"44313","10890","4520"
"44337","487","2940"
"44401","9013","3210"
"44405","9015","3210"
"44428","2540","3480"
"44459","10615","2540"
"44460","10615","2550"
"44466","12475","2970"
"44476","11511","2420"
"44477","11511","2570"
"44496","9723","3280"
"44502","3226","3720"
"44534","12614","2610"
"44544","11323","4530"
"44555","11548","1780"
"44569","10753","3720"
"44573","11344","740"
"44587","11517","3720"
"44616","12609","2200"
"44618","12610","2200"
"44620","12611","2200"
"44622","3810","1530"
"44623","3810","2970"
"44624","3810","2980"
"44628","4270","1110"
"44629","4270","3420"
"44634","9921","4560"
"44648","9564","1250"
"44649","9564","3500"
"44658","12142","2970"
"44665","3283","4630"
"44673","11798","3720"
"44674","12302","980"
"44675","12302","2970"
"44689","1364","1600"
"44690","1364","4140"
"44705","10685","510"
"44706","10685","520"
"44730","10815","1530"
"44731","10815","1570"
"44732","10815","1950"
"44746","6654","2330"
"44763","12289","1570"
"44764","12289","3070"
"44765","12289","4994"
"44779","1348","3280"
"44780","1348","3350"
"44781","1348","4910"
"44803","4313","3960"
"44804","12324","980"
"44805","12324","1530"
"44806","12324","1570"
"44807","12324","2970"
"44808","12324","2980"
"44813","12587","770"
"44814","928","1530"
"44817","12640","1530"
"44828","8090","4670"
"44853","8089","4130"
"44873","11641","940"
"44874","11641","2970"
"44881","12496","3420"
"44884","5867","1400"
"44885","5867","4977"
"44913","4377","3720"
"44914","4377","4985"
"44931","624","4030"
"44950","8342","3720"
"44960","8895","1530"
"44961","8895","1570"
"44964","10777","2940"
"44965","10777","4950"
"44988","12629","1530"
"44989","12629","1590"
"44990","12629","1950"
"44998","12158","1670"
"44999","12158","3020"
"45031","11170","1110"
"45032","11170","2100"
"45033","11170","3420"
"45068","12133","2860"
"45073","4260","1570"
"45074","4260","2900"
"45075","4260","2960"
"45076","4260","3280"
"45077","4260","4670"
"45080","10523","740"
"45081","10523","1110"
"45082","10523","3420"
"45083","10523","4230"
"45084","1415","3340"
"45085","1415","4360"
"45144","2799","1280"
"45145","2799","3340"
"45146","2799","3470"
"45157","7008","3020"
"45159","12533","3020"
"45164","9059","3020"
